		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110111010  252  225  237  226  236  240  240  264  5.516675 0.701192 SUCCESS 116
110111100  234  263  264  248  253  231  237  268  7.374455 0.496822 SUCCESS 117
111000000  261  241  242  250  281  273  248  269 13.391587 0.099068 SUCCESS 118
111000010  240  224  248  217  247  232  276  247  9.966238 0.267404 SUCCESS 119
111000100  256  227  217  247  260  236  231  249  7.170036 0.518403 SUCCESS 120
111000110  238  222  267  249  249  246  242  222  6.759079 0.562835 SUCCESS 121
111001000  239  270  248  255  262  247  241  240  5.014629 0.756011 SUCCESS 122
111001010  260  255  228  256  255  238  268  258  7.158385 0.519645 SUCCESS 123
111001100  238  233  265  261  272  242  212  243 11.424712 0.178776 SUCCESS 124
111010000  255  243  265  271  231  289  233  237 15.413538 0.051586 SUCCESS 125
111010010  216  231  251  216  252  241  218  244 10.828401 0.211613 SUCCESS 126
111010100  251  246  220  231  260  264  241  221  8.459043 0.389960 SUCCESS 127
111010110  255  240  238  254  223  242  227  273  7.829897 0.450260 SUCCESS 128
111011000  236  239  239  232  231  228  235  213  7.413644 0.492730 SUCCESS 129
111011010  246  239  265  248  244  209  250  249  7.510028 0.482731 SUCCESS 130
111011100  251  212  236  250  256  270  256  234  9.464193 0.304661 SUCCESS 131
111100000  263  238  253  228  268  267  244  258  8.551190 0.381558 SUCCESS 132
111100010  255  250  220  256  266  232  221  236  8.906011 0.350287 SUCCESS 133
111100100  228  269  232  270  255  237  229  260  9.935522 0.269581 SUCCESS 134
111100110  238  279  241  250  260  253  230  254  8.159298 0.418066 SUCCESS 135
111101000  238  252  247  240  229  270  238  235  4.846222 0.773879 SUCCESS 136
111101010  259  262  220  241  229  236  257  227  7.991950 0.434257 SUCCESS 137
111101100  250  243  236  221  222  238  240  223  6.892534 0.548271 SUCCESS 138
111101110  235  218  248  242  263  258  271  237  8.927195 0.348475 SUCCESS 139
111110000  246  235  253  255  252  258  228  262  4.736068 0.785377 SUCCESS 140
111110010  259  263  214  268  276  239  263  256 15.229242 0.054838 SUCCESS 141
111110100  252  228  263  235  236  256  216  230  8.300167 0.404712 SUCCESS 142
111110110  260  255  248  237  230  218  244  244  5.584462 0.693665 SUCCESS 143
111111000  237  230  255  251  260  262  224  216  9.250241 0.321628 SUCCESS 144
111111010  238  241  242  240  211  230  231  242  6.534535 0.587580 SUCCESS 145
111111100  245  240  221  238  285  238  234  232 10.794507 0.213617 SUCCESS 146
111111110  241  249  239  241  249  256  238  231  1.881611 0.984429 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  241  252  280  237  244  269  226  285 17.063721 0.029452 SUCCESS   0
000000011  218  241  278  215  237  234  261  249 13.344983 0.100518 SUCCESS   1
000000101  249  267  239  252  223  259  235  229  6.841694 0.553805 SUCCESS   2
000000111  234  243  279  218  245  264  257  238 11.022228 0.200443 SUCCESS   3
000001001  222  245  236  241  263  234  222  267  8.632746 0.374217 SUCCESS   4
000001011  272  249  250  264  221  254  231  240  8.693119 0.368842 SUCCESS   5
000001101  229  256  264  240  255  212  228  257  9.989540 0.265761 SUCCESS   6
000001111  248  262  279  224  248  269  254  209 16.611456 0.034419 SUCCESS   7
000010001  242  271  229  227  240  246  225  239  7.038699 0.532463 SUCCESS   8
000010011  236  268  224  239  248  224  226  258  8.508824 0.385407 SUCCESS   9
000010101  256  243  241  236  251  257  217  231  5.673432 0.683759 SUCCESS  10
000010111  252  253  264  248  240  265  234  264  6.359772 0.607000 SUCCESS  11
000011001  250  229  262  256  233  227  221  264  8.772556 0.361845 SUCCESS  12
000011011  247  250  223  268  243  233  239  244  5.127960 0.743816 SUCCESS  13
000011101  243  258  260  256  230  243  251  252  3.799764 0.874722 SUCCESS  14
000011111  241  254  227  260  242  250  242  232  3.572043 0.893527 SUCCESS  15
000100011  229  254  224  228  253  234  228  226  7.461307 0.487774 SUCCESS  16
000100101  218  235  269  252  254  247  211  242 11.244654 0.188218 SUCCESS  17
000100111  266  273  243  258  260  225  224  244 10.714011 0.218436 SUCCESS  18
000101001  252  279  268  225  237  274  233  251 14.101229 0.079165 SUCCESS  19
000101011  237  245  232  231  225  275  221  245  9.428181 0.307472 SUCCESS  20
000101101  259  250  238  224  224  224  247  218  9.316968 0.316267 SUCCESS  21
000101111  241  239  260  243  223  248  258  257  4.697938 0.789319 SUCCESS  22
000110011  243  237  233  234  231  229  237  250  3.239464 0.918443 SUCCESS  23
000110101  236  230  240  231  251  245  220  264  6.269743 0.617045 SUCCESS  24
000110111  245  226  244  264  255  248  234  240  4.139757 0.844299 SUCCESS  25
000111001  256  246  239  241  253  234  238  249  1.792641 0.986722 SUCCESS  26
000111011  251  269  232  255  228  249  263  242  6.676463 0.571908 SUCCESS  27
000111101  241  209  261  246  247  225  262  247  9.463134 0.304744 SUCCESS  28
000111111  237  256  224  251  248  246  230  237  3.867551 0.868871 SUCCESS  29
001000011  248  251  254  286  251  234  237  265 10.801922 0.213177 SUCCESS  30
001000101  232  273  237  205  212  257  256  227 17.770186 0.023017 SUCCESS  31
